

 11:16:03,22.7,72.9
 11:16:06,22.6,72.7
 11:16:10,22.6,72.7
 11:16:13,22.6,72.7
 11:16:16,22.3,72.1
 11:16:19,22.0,71.6
 11:16:23,21.5,70.7
 11:16:26,21.0,69.8
 11:16:29,20.5,68.9
 11:16:32,19.9,67.8
 11:16:36,19.3,66.7
 11:16:39,18.7,65.7
 11:16:42,18.0,64.4
 11:16:48,16.9,62.4
 11:17:00,15.0,59.0
 11:17:03,14.8,58.6
 11:17:06,14.4,57.9
 11:17:10,14.0,57.2
 11:17:13,13.7,56.7
 11:17:16,13.3,55.9
 11:17:20,13.1,55.6
 11:17:25,12.5,54.5
 11:17:28,12.4,54.3
 11:17:32,12.1,53.8
 11:17:37,11.7,53.1
 11:17:40,11.6,52.9
 11:17:46,11.3,52.3
 11:17:49,11.1,52.0
 11:17:52,11.0,51.8
 11:17:56,10.8,51.4
 11:17:59,10.7,51.3
 11:18:02,10.5,50.9
 11:18:05,10.4,50.7
 11:18:09,10.3,50.5
 11:18:12,10.2,50.4
 11:18:15,10.1,50.2
 11:18:18,10.0,50.0
 11:18:24,9.7,49.5
 11:18:27,9.7,49.5
 11:18:30,9.6,49.3
 11:18:34,9.5,49.1
 11:18:37,9.4,48.9
 11:18:40,9.4,48.9
 11:18:43,9.3,48.7
 11:18:47,9.2,48.6
 11:18:50,9.2,48.6
 11:18:53,9.1,48.4
 11:18:56,9.0,48.2
 11:19:00,9.0,48.2
 11:19:03,8.9,48.0
 11:19:06,8.8,47.8
 11:19:09,8.8,47.8
 11:19:13,8.7,47.7
 11:19:16,8.6,47.5
 11:19:19,8.6,47.5
 11:19:22,8.6,47.5
 11:19:26,8.5,47.3
 11:19:29,8.4,47.1
 11:19:32,8.4,47.1
 11:19:35,8.3,46.9
 11:19:39,8.3,46.9
 11:19:42,8.3,46.9
 11:19:45,8.2,46.8
 11:19:48,8.2,46.8
 11:19:52,8.1,46.6
 11:19:55,8.1,46.6
 11:19:58,8.1,46.6
 11:20:01,8.0,46.4
 11:20:07,8.0,46.4
 11:20:12,8.0,46.4
 11:20:16,8.0,46.4
 11:20:19,8.0,46.4
 11:20:22,7.9,46.2
 11:20:26,8.0,46.4
 11:20:29,8.1,46.6
 11:20:32,8.3,46.9
 11:20:35,8.6,47.5
 11:20:39,8.9,48.0
 11:20:42,9.2,48.6
 11:20:45,9.5,49.1
 11:20:48,9.8,49.6
 11:20:52,10.2,50.4
 11:20:55,10.5,50.9
 11:20:58,10.8,51.4
 11:21:01,11.1,52.0
 11:21:05,11.5,52.7
 11:21:08,11.7,53.1
 11:21:11,12.0,53.6
 11:21:14,12.4,54.3
 11:21:18,12.6,54.7
 11:21:21,12.9,55.2
 11:21:24,13.1,55.6
 11:21:27,13.4,56.1
 11:21:31,13.6,56.5
 11:21:34,13.9,57.0
 11:21:37,14.1,57.4
 11:21:40,14.3,57.7
 11:21:44,14.5,58.1
 11:21:47,14.7,58.5
 11:21:50,14.9,58.8
 11:21:53,15.0,59.0
 11:21:57,15.3,59.5
 11:22:00,15.4,59.7
 11:22:03,15.6,60.1
 11:22:06,15.7,60.3
 11:22:10,15.8,60.4
 11:22:13,16.0,60.8
 11:22:16,16.1,61.0
 11:22:19,16.2,61.2
 11:22:23,16.4,61.5
 11:22:26,16.5,61.7
 11:22:29,16.6,61.9
